date,region,cum_cases,cum_deaths
2020-01-01,Andalucía,0,0
2020-01-02,Andalucía,0,0
2020-01-03,Andalucía,0,0
2020-01-04,Andalucía,0,0
2020-01-05,Andalucía,0,0
2020-01-06,Andalucía,0,0
2020-01-07,Andalucía,0,0
2020-01-08,Andalucía,0,0
2020-01-09,Andalucía,0,0
2020-01-10,Andalucía,0,0
2020-01-11,Andalucía,0,0
2020-01-12,Andalucía,0,0
2020-01-13,Andalucía,0,0
2020-01-14,Andalucía,0,0
2020-01-15,Andalucía,0,0
2020-01-16,Andalucía,0,0
2020-01-17,Andalucía,0,0
2020-01-18,Andalucía,0,0
2020-01-19,Andalucía,0,0
2020-01-20,Andalucía,0,0
2020-01-21,Andalucía,0,0
2020-01-22,Andalucía,0,0
2020-01-23,Andalucía,0,0
2020-01-24,Andalucía,0,0
2020-01-25,Andalucía,0,0
2020-01-26,Andalucía,0,0
2020-01-27,Andalucía,0,0
2020-01-28,Andalucía,0,0
2020-01-29,Andalucía,0,0
2020-01-30,Andalucía,0,0
2020-01-31,Andalucía,0,0
2020-02-01,Andalucía,0,0
2020-02-02,Andalucía,0,0
2020-02-03,Andalucía,0,0
2020-02-04,Andalucía,0,0
2020-02-05,Andalucía,0,0
2020-02-06,Andalucía,0,0
2020-02-07,Andalucía,0,0
2020-02-08,Andalucía,0,0
2020-02-09,Andalucía,0,0
2020-02-10,Andalucía,0,0
2020-02-11,Andalucía,0,0
2020-02-12,Andalucía,0,0
2020-02-13,Andalucía,0,0
2020-02-14,Andalucía,0,0
2020-02-15,Andalucía,0,0
2020-02-16,Andalucía,0,0
2020-02-17,Andalucía,0,0
2020-02-18,Andalucía,0,0
2020-02-19,Andalucía,0,0
2020-02-20,Andalucía,0,0
2020-02-21,Andalucía,0,0
2020-02-22,Andalucía,0,0
2020-02-23,Andalucía,0,0
2020-02-24,Andalucía,0,0
2020-02-25,Andalucía,0,0
2020-02-26,Andalucía,1,0
2020-02-27,Andalucía,2,0
2020-02-28,Andalucía,8,0
2020-02-29,Andalucía,11,0
2020-03-01,Andalucía,11,0
2020-03-02,Andalucía,12,0
2020-03-03,Andalucía,13,0
2020-03-04,Andalucía,13,0
2020-03-05,Andalucía,18,0
2020-03-06,Andalucía,31,0
2020-03-07,Andalucía,36,0
2020-03-08,Andalucía,54,0
2020-03-09,Andalucía,73,0
2020-03-10,Andalucía,91,0
2020-03-11,Andalucía,137,0
2020-03-12,Andalucía,213,0
2020-03-13,Andalucía,370,2
2020-03-14,Andalucía,493,7
2020-03-15,Andalucía,660,11
2020-03-16,Andalucía,789,16
2020-03-17,Andalucía,1042,24
2020-03-18,Andalucía,1290,29
2020-03-19,Andalucía,1629,44
2020-03-20,Andalucía,1947,58
2020-03-21,Andalucía,2328,76
2020-03-22,Andalucía,2695,104
2020-03-23,Andalucía,3250,134
2020-03-24,Andalucía,3810,170
2020-03-25,Andalucía,4454,203
2020-03-26,Andalucía,5129,249
2020-03-27,Andalucía,5773,297
2020-03-28,Andalucía,6420,325
2020-03-29,Andalucía,6825,365
2020-03-30,Andalucía,7308,418
2020-03-31,Andalucía,7822,465
2020-04-01,Andalucía,8292,508
2020-04-02,Andalucía,8758,562
2020-04-03,Andalucía,9130,606
2020-04-04,Andalucía,9502,657
2020-04-05,Andalucía,9623,697
2020-04-06,Andalucía,9839,739
2020-04-07,Andalucía,10116,778
2020-04-08,Andalucía,10408,833
2020-04-09,Andalucía,10618,865
2020-04-10,Andalucía,10828,911
2020-04-11,Andalucía,10983,934
2020-04-12,Andalucía,11092,967
2020-04-13,Andalucía,11238,988
2020-04-14,Andalucía,11389,1022
2020-04-15,Andalucía,11517,1049
2020-04-16,Andalucía,11639,1074
2020-04-17,Andalucía,11765,1100
2020-04-18,Andalucía,11836,1119
2020-04-19,Andalucía,11888,1138
2020-04-20,Andalucía,11960,1166
2020-04-21,Andalucía,12074,1189
2020-04-22,Andalucía,12142,1204
2020-04-23,Andalucía,12210,1227
2020-04-24,Andalucía,12283,1238
2020-04-25,Andalucía,12336,1250
2020-04-26,Andalucía,12351,1263
2020-04-27,Andalucía,12406,1274
2020-04-28,Andalucía,12444,1284
2020-04-29,Andalucía,12491,1293
2020-04-30,Andalucía,12552,1299
2020-05-01,Andalucía,12594,1305
2020-05-02,Andalucía,12623,1312
2020-05-03,Andalucía,12634,1321
2020-05-04,Andalucía,12657,1334
2020-05-05,Andalucía,12712,1343
2020-05-06,Andalucía,12740,1348
2020-05-07,Andalucía,12764,1354
2020-05-08,Andalucía,12792,1356
2020-05-09,Andalucía,12812,1363
2020-05-10,Andalucía,12831,1367
2020-05-11,Andalucía,12852,1371
2020-05-12,Andalucía,12873,1374
2020-05-13,Andalucía,12890,1381
2020-05-14,Andalucía,12905,1389
2020-05-15,Andalucía,12935,1393
2020-05-16,Andalucía,12943,1396
2020-05-17,Andalucía,12949,1398
2020-05-18,Andalucía,12963,1403
2020-05-19,Andalucía,12977,1405
2020-05-20,Andalucía,13004,1405
2020-05-21,Andalucía,13013,1409
2020-05-22,Andalucía,13025,1412
2020-05-23,Andalucía,13031,1414
2020-05-24,Andalucía,13034,1418
2020-05-25,Andalucía,13041,1421
2020-05-26,Andalucía,13048,1422
2020-05-27,Andalucía,13060,1422
2020-05-28,Andalucía,13071,1424
2020-05-29,Andalucía,13083,1424
2020-05-30,Andalucía,13096,1426
2020-05-31,Andalucía,13106,1426
2020-06-01,Andalucía,13125,1426
2020-06-02,Andalucía,13136,1426
2020-06-03,Andalucía,13153,1427
2020-06-04,Andalucía,13164,1428
2020-06-05,Andalucía,13178,1428
2020-06-06,Andalucía,13188,1430
2020-06-07,Andalucía,13191,1430
2020-06-08,Andalucía,13196,1430
2020-06-09,Andalucía,13203,1430
2020-06-10,Andalucía,13206,1432
2020-06-11,Andalucía,13214,1432
2020-06-12,Andalucía,13218,1433
2020-06-13,Andalucía,13223,1433
2020-06-14,Andalucía,13224,1433
2020-06-15,Andalucía,13226,1434
2020-06-16,Andalucía,13232,1434
2020-06-17,Andalucía,13239,1435
2020-06-18,Andalucía,13262,1435
2020-06-19,Andalucía,13270,1436
2020-06-20,Andalucía,13283,1436
2020-06-21,Andalucía,13285,1437
2020-06-22,Andalucía,13289,1437
2020-06-23,Andalucía,13317,1437
2020-06-24,Andalucía,13408,1438
2020-06-25,Andalucía,13424,1438
2020-06-26,Andalucía,13446,1439
2020-06-27,Andalucía,13462,1439
2020-06-28,Andalucía,13497,1439
2020-06-29,Andalucía,13511,1441
2020-06-30,Andalucía,13537,1441
2020-07-01,Andalucía,13556,1441
2020-07-02,Andalucía,13568,1441
2020-07-03,Andalucía,13592,1441
2020-07-04,Andalucía,13609,1441
2020-07-05,Andalucía,13621,1441
2020-07-06,Andalucía,13631,1442
2020-07-07,Andalucía,13668,1443
2020-07-08,Andalucía,13722,1445
2020-07-09,Andalucía,13764,1445
2020-07-10,Andalucía,13815,1445
2020-07-11,Andalucía,13857,1445
2020-07-12,Andalucía,13877,1445
2020-07-13,Andalucía,13909,1445
2020-07-14,Andalucía,13994,1446
2020-07-15,Andalucía,14040,1446
2020-07-16,Andalucía,14118,1447
2020-07-17,Andalucía,14232,1447
2020-07-18,Andalucía,14335,1447
2020-07-19,Andalucía,14424,1447
2020-07-20,Andalucía,14522,1447
2020-07-21,Andalucía,14578,1447
2020-07-22,Andalucía,14659,1447
